# cosmological_parameters--omega_m cosmological_parameters--s_8 cosmological_parameters--omega_b
2.187109374999999800e-01 9.580078125000000000e-01 3.726562499999999667e-02
2.662109375000000222e-01 6.455078125000000000e-01 6.226562500000000500e-02
4.562109375000000244e-01 8.955078125000000000e-01 4.226562500000000111e-02
3.612109374999999956e-01 5.205078125000000000e-01 3.226562499999999917e-02
1.712109374999999933e-01 7.705078125000000000e-01 5.226562500000000305e-02
1.949609374999999867e-01 7.392578125000000000e-01 3.976562499999999889e-02
3.849609374999999889e-01 9.892578125000000000e-01 5.976562500000000278e-02
4.799609375000000178e-01 6.142578125000000000e-01 6.976562499999999778e-02
2.899609374999999600e-01 8.642578125000000000e-01 4.976562500000000777e-02
2.424609375000000011e-01 5.517578125000000000e-01 5.476562500000000527e-02
4.324609374999999756e-01 8.017578125000000000e-01 3.476562500000000139e-02
3.374609375000000022e-01 6.767578125000000000e-01 4.476562500000000333e-02
1.474609375000000000e-01 9.267578125000000000e-01 6.476562500000000722e-02
1.593359374999999967e-01 6.611328125000000000e-01 5.851562500000000167e-02
3.493359375000000266e-01 9.111328125000000000e-01 3.851562499999999778e-02
4.443359375000000000e-01 5.361328125000000000e-01 4.851562500000000666e-02
2.543359374999999978e-01 7.861328125000000000e-01 6.851562499999999667e-02
3.018359374999999845e-01 5.986328125000000000e-01 3.351562500000000028e-02
4.918359374999999867e-01 8.486328125000000000e-01 5.351562500000000416e-02
3.968359375000000133e-01 7.236328125000000000e-01 6.351562500000000611e-02
2.068359375000000111e-01 9.736328125000000000e-01 4.351562500000000222e-02
1.830859374999999900e-01 5.048828125000000000e-01 6.601562500000000833e-02
3.730859375000000200e-01 7.548828125000000000e-01 4.601562500000000444e-02
4.680859374999999933e-01 6.298828125000000000e-01 3.601562500000000250e-02
2.780859374999999911e-01 8.798828125000000000e-01 5.601562499999999944e-02
2.305859375000000044e-01 6.923828125000000000e-01 4.101562500000000000e-02
4.205859375000000067e-01 9.423828125000000000e-01 6.101562500000000389e-02
3.255859374999999778e-01 5.673828125000000000e-01 5.101562500000000194e-02
1.355859375000000033e-01 8.173828125000000000e-01 3.101562499999999806e-02
1.415234374999999878e-01 7.158203125000000000e-01 6.789062500000000999e-02
3.315234375000000178e-01 9.658203125000000000e-01 4.789062500000000611e-02
4.265234374999999911e-01 5.908203125000000000e-01 3.789062499999999722e-02
2.365234374999999889e-01 8.408203125000000000e-01 5.789062500000000111e-02
2.840234375000000311e-01 5.283203125000000000e-01 4.289062500000000167e-02
4.740234374999999778e-01 7.783203125000000000e-01 6.289062500000000555e-02
3.790234375000000044e-01 6.533203125000000000e-01 5.289062500000000361e-02
1.890234375000000022e-01 9.033203125000000000e-01 3.289062499999999972e-02
2.127734374999999956e-01 6.220703125000000000e-01 5.539062499999999889e-02
4.027734374999999978e-01 8.720703125000000000e-01 3.539062500000000194e-02
4.977734375000000266e-01 7.470703125000000000e-01 4.539062500000000389e-02
3.077734374999999689e-01 9.970703125000000000e-01 6.539062500000000777e-02
2.602734374999999822e-01 6.845703125000000000e-01 3.039062499999999750e-02
4.502734374999999845e-01 9.345703125000000000e-01 5.039062500000000139e-02
3.552734375000000111e-01 5.595703125000000000e-01 6.039062500000000333e-02
1.652734375000000089e-01 8.095703125000000000e-01 4.039062499999999944e-02
1.533984374999999845e-01 5.439453125000000000e-01 3.664062500000000305e-02
3.433984374999999867e-01 7.939453125000000000e-01 5.664062500000000000e-02
4.383984375000000155e-01 6.689453125000000000e-01 6.664062500000000888e-02
2.483984374999999856e-01 9.189453125000000000e-01 4.664062500000000500e-02
2.958984375000000000e-01 7.314453125000000000e-01 5.164062500000000250e-02
4.858984375000000022e-01 9.814453125000000000e-01 3.164062499999999861e-02
3.908984374999999734e-01 6.064453125000000000e-01 4.164062500000000056e-02
2.008984374999999989e-01 8.564453125000000000e-01 6.164062500000000444e-02
1.771484375000000056e-01 6.376953125000000000e-01 4.914062500000000722e-02
3.671484375000000355e-01 8.876953125000000000e-01 6.914062500000001110e-02
4.621484375000000089e-01 5.126953125000000000e-01 5.914062500000000222e-02
2.721484375000000067e-01 7.626953125000000000e-01 3.914062499999999833e-02
2.246484374999999922e-01 5.751953125000000000e-01 6.414062500000000666e-02
4.146484375000000222e-01 8.251953125000000000e-01 4.414062500000000278e-02
3.196484374999999933e-01 7.001953125000000000e-01 3.414062500000000083e-02
1.296484374999999911e-01 9.501953125000000000e-01 5.414062500000000472e-02
1.266796874999999989e-01 6.494140625000000000e-01 3.445312500000000111e-02
3.166796874999999734e-01 8.994140625000000000e-01 5.445312500000000500e-02
4.116796875000000022e-01 5.244140625000000000e-01 6.445312500000000000e-02
2.216796875000000000e-01 7.744140625000000000e-01 4.445312500000000305e-02
2.691796874999999867e-01 5.869140625000000000e-01 5.945312500000000944e-02
4.591796874999999889e-01 8.369140625000000000e-01 3.945312499999999861e-02
3.641796874999999600e-01 7.119140625000000000e-01 4.945312500000000056e-02
1.741796875000000133e-01 9.619140625000000000e-01 6.945312500000000444e-02
1.979296875000000067e-01 5.556640625000000000e-01 4.195312500000000083e-02
3.879296875000000089e-01 8.056640625000000000e-01 6.195312500000000472e-02
4.829296874999999822e-01 6.806640625000000000e-01 5.195312500000000278e-02
2.929296875000000355e-01 9.306640625000000000e-01 3.195312499999999889e-02
2.454296874999999933e-01 7.431640625000000000e-01 6.695312500000000222e-02
4.354296874999999956e-01 9.931640625000000000e-01 4.695312499999999833e-02
3.404296875000000222e-01 6.181640625000000000e-01 3.695312500000000333e-02
1.504296874999999922e-01 8.681640625000000000e-01 5.695312500000000722e-02
1.623046874999999889e-01 6.025390625000000000e-01 6.070312500000000361e-02
3.523046874999999911e-01 8.525390625000000000e-01 4.070312499999999972e-02
4.473046875000000200e-01 7.275390625000000000e-01 3.070312499999999778e-02
2.573046875000000178e-01 9.775390625000000000e-01 5.070312500000000167e-02
3.048046875000000044e-01 6.650390625000000000e-01 4.570312499999999722e-02
4.948046875000000067e-01 9.150390625000000000e-01 6.570312500000000111e-02
3.998046874999999778e-01 5.400390625000000000e-01 5.570312500000000611e-02
2.098046875000000033e-01 7.900390625000000000e-01 3.570312500000000222e-02
1.860546874999999822e-01 6.962890625000000000e-01 5.320312500000000389e-02
3.760546874999999845e-01 9.462890625000000000e-01 3.320312500000000000e-02
4.710546875000000133e-01 5.712890625000000000e-01 4.320312500000000194e-02
2.810546875000000111e-01 8.212890625000000000e-01 6.320312499999999889e-02
2.335546874999999967e-01 5.087890625000000000e-01 3.820312500000000444e-02
4.235546875000000266e-01 7.587890625000000000e-01 5.820312500000000833e-02
3.285546874999999978e-01 6.337890625000000000e-01 6.820312500000000333e-02
1.385546874999999956e-01 8.837890625000000000e-01 4.820312499999999944e-02
1.326171874999999833e-01 5.166015625000000000e-01 5.007812500000000111e-02
3.226171875000000133e-01 7.666015625000000000e-01 3.007812499999999722e-02
4.176171874999999867e-01 6.416015625000000000e-01 4.007812499999999917e-02
2.276171874999999845e-01 8.916015625000000000e-01 6.007812500000000305e-02
2.751171875000000266e-01 7.041015625000000000e-01 3.507812500000000167e-02
4.651171874999999734e-01 9.541015625000000000e-01 5.507812500000000555e-02
3.701171875000000000e-01 5.791015625000000000e-01 6.507812500000001443e-02
1.801171874999999978e-01 8.291015625000000000e-01 4.507812500000000361e-02
2.038671874999999911e-01 6.728515625000000000e-01 6.257812500000001221e-02
3.938671874999999933e-01 9.228515625000000000e-01 4.257812500000000139e-02
4.888671875000000222e-01 5.478515625000000000e-01 3.257812499999999944e-02
2.988671874999999645e-01 7.978515625000000000e-01 5.257812500000000333e-02
2.513671874999999778e-01 6.103515625000000000e-01 4.757812499999999889e-02
4.413671874999999800e-01 8.603515625000000000e-01 6.757812500000000278e-02
3.463671875000000067e-01 7.353515625000000000e-01 5.757812500000000777e-02
1.563671875000000044e-01 9.853515625000000000e-01 3.757812500000000389e-02
1.444921875000000078e-01 7.197265625000000000e-01 4.382812500000000250e-02
3.344921874999999822e-01 9.697265625000000000e-01 6.382812500000001332e-02
4.294921875000000111e-01 5.947265625000000000e-01 5.382812500000000444e-02
2.394921875000000089e-01 8.447265625000000000e-01 3.382812500000000056e-02
2.869921874999999956e-01 5.322265625000000000e-01 6.882812500000000389e-02
4.769921874999999978e-01 7.822265625000000000e-01 4.882812500000000000e-02
3.819921875000000244e-01 6.572265625000000000e-01 3.882812499999999806e-02
1.919921874999999944e-01 9.072265625000000000e-01 5.882812500000000888e-02
1.682421875000000011e-01 5.634765625000000000e-01 3.132812499999999833e-02
3.582421875000000311e-01 8.134765625000000000e-01 5.132812500000000222e-02
4.532421875000000044e-01 6.884765625000000000e-01 6.132812500000000416e-02
2.632421875000000022e-01 9.384765625000000000e-01 4.132812500000000028e-02
2.157421875000000155e-01 6.259765625000000000e-01 5.632812500000000666e-02
4.057421875000000178e-01 8.759765625000000000e-01 3.632812500000000278e-02
3.107421874999999889e-01 5.009765625000000000e-01 4.632812499999999778e-02
1.207421875000000006e-01 7.509765625000000000e-01 6.632812500000001554e-02
1.211132812499999961e-01 6.254882812500000000e-01 4.449218750000000222e-02
3.111132812499999845e-01 8.754882812500000000e-01 6.449218750000000611e-02
4.061132812500000133e-01 5.004882812500000000e-01 5.449218750000000416e-02
2.161132812500000111e-01 7.504882812500000000e-01 3.449218750000000028e-02
2.636132812499999978e-01 5.629882812500000000e-01 6.949218749999999667e-02
4.536132812500000000e-01 8.129882812500000000e-01 4.949218750000000666e-02
3.586132812500000266e-01 6.879882812500000000e-01 3.949218749999999778e-02
1.686132812499999967e-01 9.379882812500000000e-01 5.949218750000000167e-02
1.923632812499999900e-01 5.317382812500000000e-01 3.199218749999999806e-02
3.823632812500000200e-01 7.817382812500000000e-01 5.199218750000000194e-02
4.773632812499999933e-01 6.567382812500000000e-01 6.199218750000000389e-02
2.873632812499999911e-01 9.067382812500000000e-01 4.199218750000000000e-02
2.398632812500000044e-01 7.192382812500000000e-01 5.699218749999999944e-02
4.298632812500000067e-01 9.692382812500000000e-01 3.699218750000000250e-02
3.348632812499999778e-01 5.942382812500000000e-01 4.699218750000000444e-02
1.448632812500000033e-01 8.442382812500000000e-01 6.699218750000000833e-02
1.567382812500000000e-01 6.098632812500000000e-01 5.074218750000000777e-02
3.467382812500000022e-01 8.598632812500000000e-01 3.074218750000000042e-02
4.417382812499999756e-01 7.348632812500000000e-01 4.074218749999999889e-02
2.517382812499999734e-01 9.848632812500000000e-01 6.074218750000000278e-02
2.992382812499999600e-01 6.723632812500000000e-01 3.574218750000000139e-02
4.892382812500000178e-01 9.223632812500000000e-01 5.574218750000000527e-02
3.942382812499999889e-01 5.473632812500000000e-01 6.574218750000000722e-02
2.042382812499999867e-01 7.973632812500000000e-01 4.574218750000000333e-02
1.804882812499999933e-01 7.036132812500000000e-01 6.324218750000000500e-02
3.704882812499999956e-01 9.536132812500000000e-01 4.324218750000000111e-02
4.654882812500000244e-01 5.786132812500000000e-01 3.324218749999999917e-02
2.754882812500000222e-01 8.286132812500000000e-01 5.324218750000000305e-02
2.279882812499999800e-01 5.161132812500000000e-01 4.824218750000000555e-02
4.179882812499999822e-01 7.661132812500000000e-01 6.824218750000000944e-02
3.229882812500000089e-01 6.411132812500000000e-01 5.824218750000000056e-02
1.329882812500000067e-01 8.911132812500000000e-01 3.824218749999999667e-02
1.389257812499999911e-01 5.083007812500000000e-01 6.011718750000000222e-02
3.289257812499999933e-01 7.583007812500000000e-01 4.011718749999999833e-02
4.239257812500000222e-01 6.333007812500000000e-01 3.011718749999999986e-02
2.339257812499999922e-01 8.833007812500000000e-01 5.011718750000000722e-02
2.814257812500000067e-01 6.958007812500000000e-01 4.511718750000000278e-02
4.714257812500000089e-01 9.458007812500000000e-01 6.511718750000000666e-02
3.764257812499999800e-01 5.708007812500000000e-01 5.511718750000000472e-02
1.864257812499999778e-01 8.208007812500000000e-01 3.511718750000000083e-02
2.101757812499999989e-01 6.645507812500000000e-01 5.261718750000000250e-02
4.001757812499999734e-01 9.145507812500000000e-01 3.261718749999999861e-02
4.951757812500000022e-01 5.395507812500000000e-01 4.261718750000000056e-02
3.051757812500000000e-01 7.895507812500000000e-01 6.261718750000000444e-02
2.576757812500000133e-01 6.020507812500000000e-01 3.761718750000000305e-02
4.476757812500000155e-01 8.520507812500000000e-01 5.761718750000000000e-02
3.526757812499999867e-01 7.270507812500000000e-01 6.761718750000000888e-02
1.626757812499999845e-01 9.770507812500000000e-01 4.761718750000000500e-02
1.508007812499999878e-01 7.426757812500000000e-01 3.386718749999999972e-02
3.408007812500000178e-01 9.926757812500000000e-01 5.386718750000000361e-02
4.358007812499999911e-01 6.176757812500000000e-01 6.386718750000000555e-02
2.458007812499999889e-01 8.676757812500000000e-01 4.386718750000000167e-02
2.933007812500000311e-01 5.551757812500000000e-01 5.886718750000000111e-02
4.833007812499999778e-01 8.051757812500000000e-01 3.886718749999999722e-02
3.883007812500000044e-01 6.801757812500000000e-01 4.886718750000000611e-02
1.983007812500000022e-01 9.301757812500000000e-01 6.886718750000000999e-02
1.745507812500000089e-01 5.864257812500000000e-01 4.136718749999999944e-02
3.645507812500000111e-01 8.364257812500000000e-01 6.136718750000000333e-02
4.595507812499999845e-01 7.114257812500000000e-01 5.136718750000000139e-02
2.695507812499999822e-01 9.614257812500000000e-01 3.136718749999999750e-02
2.220507812499999956e-01 6.489257812500000000e-01 6.636718750000000777e-02
4.120507812499999978e-01 8.989257812500000000e-01 4.636718750000000389e-02
3.170507812499999689e-01 5.239257812500000000e-01 3.636718750000000194e-02
1.270507812499999944e-01 7.739257812500000000e-01 5.636718749999999889e-02
1.300195312499999867e-01 5.747070312500000000e-01 3.730468750000000278e-02
3.200195312499999889e-01 8.247070312500000000e-01 5.730468750000000666e-02
4.150195312500000178e-01 6.997070312500000000e-01 6.730468750000001554e-02
2.250195312500000155e-01 9.497070312500000000e-01 4.730468749999999778e-02
2.725195312500000022e-01 6.372070312500000000e-01 5.230468750000000222e-02
4.625195312500000044e-01 8.872070312500000000e-01 3.230468749999999833e-02
3.675195312500000311e-01 5.122070312500000000e-01 4.230468750000000028e-02
1.775195312500000011e-01 7.622070312500000000e-01 6.230468750000000416e-02
2.012695312499999944e-01 7.309570312500000000e-01 4.980468750000000000e-02
3.912695312500000244e-01 9.809570312500000000e-01 6.980468750000000389e-02
4.862695312499999978e-01 6.059570312500000000e-01 5.980468750000000888e-02
2.962695312499999956e-01 8.559570312500000000e-01 3.980468750000000500e-02
2.487695312500000089e-01 5.434570312500000000e-01 6.480468750000001332e-02
4.387695312500000111e-01 7.934570312500000000e-01 4.480468750000000250e-02
3.437695312499999822e-01 6.684570312500000000e-01 3.480468750000000056e-02
1.537695312499999800e-01 9.184570312500000000e-01 5.480468750000000444e-02
1.656445312500000044e-01 6.840820312500000000e-01 6.855468750000001665e-02
3.556445312500000067e-01 9.340820312500000000e-01 4.855468749999999889e-02
4.506445312499999800e-01 5.590820312500000000e-01 3.855468750000000389e-02
2.606445312499999778e-01 8.090820312500000000e-01 5.855468750000000777e-02
3.081445312499999645e-01 6.215820312500000000e-01 4.355468750000000139e-02
4.981445312500000222e-01 8.715820312500000000e-01 6.355468750000001221e-02
4.031445312499999933e-01 7.465820312500000000e-01 5.355468750000000333e-02
2.131445312499999911e-01 9.965820312500000000e-01 3.355468749999999944e-02
1.893945312499999978e-01 5.278320312500000000e-01 5.605468750000000555e-02
3.793945312500000000e-01 7.778320312500000000e-01 3.605468750000000167e-02
4.743945312499999734e-01 6.528320312500000000e-01 4.605468750000000361e-02
2.843945312500000266e-01 9.028320312500000000e-01 6.605468750000001443e-02
2.368945312499999845e-01 7.153320312500000000e-01 3.105468750000000069e-02
4.268945312499999867e-01 9.653320312500000000e-01 5.105468750000000111e-02
3.318945312500000133e-01 5.903320312500000000e-01 6.105468750000000999e-02
1.418945312500000111e-01 8.403320312500000000e-01 4.105468749999999917e-02
1.359570312499999989e-01 6.918945312500000000e-01 5.792968750000000722e-02
3.259570312499999734e-01 9.418945312500000000e-01 3.792968750000000333e-02
4.209570312500000022e-01 5.668945312500000000e-01 4.792968749999999833e-02
2.309570312500000000e-01 8.168945312500000000e-01 6.792968750000000222e-02
2.784570312499999867e-01 5.043945312500000000e-01 3.292968749999999889e-02
4.684570312499999889e-01 7.543945312500000000e-01 5.292968750000000278e-02
3.734570312500000155e-01 6.293945312500000000e-01 6.292968749999999778e-02
1.834570312500000133e-01 8.793945312500000000e-01 4.292968750000000083e-02
2.072070312500000067e-01 5.981445312500000000e-01 6.542968750000000000e-02
3.972070312500000089e-01 8.481445312500000000e-01 4.542968750000000305e-02
4.922070312499999822e-01 7.231445312500000000e-01 3.542968750000000111e-02
3.022070312500000355e-01 9.731445312500000000e-01 5.542968750000000500e-02
2.547070312499999933e-01 6.606445312500000000e-01 4.042968749999999861e-02
4.447070312499999956e-01 9.106445312500000000e-01 6.042968750000000944e-02
3.497070312500000222e-01 5.356445312500000000e-01 5.042968750000000056e-02
1.597070312499999922e-01 7.856445312500000000e-01 3.042968750000000014e-02
1.478320312499999956e-01 5.512695312500000000e-01 4.667968749999999722e-02
3.378320312499999978e-01 8.012695312500000000e-01 6.667968750000000111e-02
4.328320312500000266e-01 6.762695312500000000e-01 5.667968750000000611e-02
2.428320312499999967e-01 9.262695312500000000e-01 3.667968750000000222e-02
2.903320312500000111e-01 7.387695312500000000e-01 6.167968750000000361e-02
4.803320312500000133e-01 9.887695312500000000e-01 4.167968749999999972e-02
3.853320312499999845e-01 6.137695312500000000e-01 3.167968749999999778e-02
1.953320312499999822e-01 8.637695312500000000e-01 5.167968750000000167e-02
1.715820312499999889e-01 6.450195312500000000e-01 3.917968750000000444e-02
3.615820312499999911e-01 8.950195312500000000e-01 5.917968750000000833e-02
4.565820312500000200e-01 5.200195312500000000e-01 6.917968750000000333e-02
2.665820312500000178e-01 7.700195312500000000e-01 4.917968749999999944e-02
2.190820312500000033e-01 5.825195312500000000e-01 5.417968750000000389e-02
4.090820312499999778e-01 8.325195312500000000e-01 3.417968750000000000e-02
3.140820312500000044e-01 7.075195312500000000e-01 4.417968750000000194e-02
1.240820312500000022e-01 9.575195312500000000e-01 6.417968749999999889e-02
1.255664062499999845e-01 5.415039062500000000e-01 5.339843750000000666e-02
3.155664062499999867e-01 7.915039062500000000e-01 3.339843750000000278e-02
4.105664062500000155e-01 6.665039062500000000e-01 4.339843749999999778e-02
2.205664062500000133e-01 9.165039062500000000e-01 6.339843750000001554e-02
2.680664062500000000e-01 7.290039062500000000e-01 3.839843750000000028e-02
4.580664062500000022e-01 9.790039062500000000e-01 5.839843750000000416e-02
3.630664062499999734e-01 6.040039062500000000e-01 6.839843750000000611e-02
1.730664062499999989e-01 8.540039062500000000e-01 4.839843750000000222e-02
1.968164062499999922e-01 6.352539062500000000e-01 6.089843750000000638e-02
3.868164062500000222e-01 8.852539062500000000e-01 4.089843750000000250e-02
4.818164062499999956e-01 5.102539062500000000e-01 3.089843750000000056e-02
2.918164062499999933e-01 7.602539062500000000e-01 5.089843750000000444e-02
2.443164062500000067e-01 5.727539062500000000e-01 4.589843750000000000e-02
4.343164062500000089e-01 8.227539062500000000e-01 6.589843750000000389e-02
3.393164062500000355e-01 6.977539062500000000e-01 5.589843750000000888e-02
1.493164062500000056e-01 9.477539062500000000e-01 3.589843749999999806e-02
1.611914062500000022e-01 7.133789062500000000e-01 4.214843750000000361e-02
3.511914062500000044e-01 9.633789062500000000e-01 6.214843750000000749e-02
4.461914062499999778e-01 5.883789062500000000e-01 5.214843750000000555e-02
2.561914062500000311e-01 8.383789062500000000e-01 3.214843750000000167e-02
3.036914062500000178e-01 5.258789062500000000e-01 6.714843750000000500e-02
4.936914062500000200e-01 7.758789062500000000e-01 4.714843750000000111e-02
3.986914062499999911e-01 6.508789062500000000e-01 3.714843749999999917e-02
2.086914062499999889e-01 9.008789062500000000e-01 5.714843750000000305e-02
1.849414062499999956e-01 6.196289062500000000e-01 3.464843749999999695e-02
3.749414062499999978e-01 8.696289062500000000e-01 5.464843750000000777e-02
4.699414062500000266e-01 7.446289062500000000e-01 6.464843750000000278e-02
2.799414062499999689e-01 9.946289062500000000e-01 4.464843749999999889e-02
2.324414062499999822e-01 6.821289062500000000e-01 5.964843750000000527e-02
4.224414062499999845e-01 9.321289062500000000e-01 3.964843750000000139e-02
3.274414062500000111e-01 5.571289062500000000e-01 4.964843750000000333e-02
1.374414062500000089e-01 8.071289062500000000e-01 6.964843750000000722e-02
1.433789062499999933e-01 6.586914062500000000e-01 3.152343750000000111e-02
3.333789062499999956e-01 9.086914062500000000e-01 5.152343750000000500e-02
4.283789062500000244e-01 5.336914062500000000e-01 6.152343750000000694e-02
2.383789062499999944e-01 7.836914062500000000e-01 4.152343750000000305e-02
2.858789062500000089e-01 5.961914062500000000e-01 5.652343750000000250e-02
4.758789062500000111e-01 8.461914062500000000e-01 3.652343749999999861e-02
3.808789062499999822e-01 7.211914062500000000e-01 4.652343750000000056e-02
1.908789062499999800e-01 9.711914062500000000e-01 6.652343750000000444e-02
2.146289062500000011e-01 5.024414062500000000e-01 4.402343749999999833e-02
4.046289062499999756e-01 7.524414062500000000e-01 6.402343750000000222e-02
4.996289062500000044e-01 6.274414062500000000e-01 5.402343750000000722e-02
3.096289062500000022e-01 8.774414062500000000e-01 3.402343750000000333e-02
2.621289062499999600e-01 6.899414062500000000e-01 6.902343750000000666e-02
4.521289062500000178e-01 9.399414062500000000e-01 4.902343750000000278e-02
3.571289062499999889e-01 5.649414062500000000e-01 3.902343750000000083e-02
1.671289062499999867e-01 8.149414062500000000e-01 5.902343750000000472e-02
1.552539062499999900e-01 5.805664062500000000e-01 6.277343750000000111e-02
3.452539062499999645e-01 8.305664062500000000e-01 4.277343749999999722e-02
4.402539062499999933e-01 7.055664062500000000e-01 3.277343750000000222e-02
2.502539062499999911e-01 9.555664062500000000e-01 5.277343750000000611e-02
2.977539062499999778e-01 6.430664062500000000e-01 4.777343750000000167e-02
4.877539062499999800e-01 8.930664062500000000e-01 6.777343750000000555e-02
3.927539062500000067e-01 5.180664062500000000e-01 5.777343750000000361e-02
2.027539062500000044e-01 7.680664062500000000e-01 3.777343749999999972e-02
1.790039062500000111e-01 7.368164062500000000e-01 5.027343750000000389e-02
3.690039062500000133e-01 9.868164062500000000e-01 3.027343750000000000e-02
4.640039062499999867e-01 6.118164062500000000e-01 4.027343750000000194e-02
2.740039062499999845e-01 8.618164062500000000e-01 6.027343750000000583e-02
2.265039062499999978e-01 5.493164062500000000e-01 3.527343749999999750e-02
4.165039062500000000e-01 7.993164062500000000e-01 5.527343750000000833e-02
3.215039062500000266e-01 6.743164062500000000e-01 6.527343750000000333e-02
1.315039062499999967e-01 9.243164062500000000e-01 4.527343749999999944e-02
1.285351562500000044e-01 7.250976562500000000e-01 6.621093750000001110e-02
3.185351562500000067e-01 9.750976562500000000e-01 4.621093750000000722e-02
4.135351562499999800e-01 6.000976562500000000e-01 3.621093749999999833e-02
2.235351562499999778e-01 8.500976562500000000e-01 5.621093750000000222e-02
2.710351562499999645e-01 5.375976562500000000e-01 4.121093750000000278e-02
4.610351562500000222e-01 7.875976562500000000e-01 6.121093750000000666e-02
3.660351562499999933e-01 6.625976562500000000e-01 5.121093750000000472e-02
1.760351562499999911e-01 9.125976562500000000e-01 3.121093750000000083e-02
1.997851562499999845e-01 5.688476562500000000e-01 5.871093750000000444e-02
3.897851562499999867e-01 8.188476562500000000e-01 3.871093750000000056e-02
4.847851562500000155e-01 6.938476562500000000e-01 4.871093750000000250e-02
2.947851562500000133e-01 9.438476562500000000e-01 6.871093750000001332e-02
2.472851562499999989e-01 6.313476562500000000e-01 3.371093749999999611e-02
4.372851562499999734e-01 8.813476562500000000e-01 5.371093750000000000e-02
3.422851562500000000e-01 5.063476562500000000e-01 6.371093750000000888e-02
1.522851562499999978e-01 7.563476562500000000e-01 4.371093750000000500e-02
1.641601562499999944e-01 5.219726562500000000e-01 3.996093750000000167e-02
3.541601562499999689e-01 7.719726562500000000e-01 5.996093750000000555e-02
4.491601562499999978e-01 6.469726562500000000e-01 6.996093750000001443e-02
2.591601562499999956e-01 8.969726562500000000e-01 4.996093750000000361e-02
3.066601562499999822e-01 7.094726562500000000e-01 5.496093750000000111e-02
4.966601562499999845e-01 9.594726562500000000e-01 3.496093749999999722e-02
4.016601562500000111e-01 5.844726562500000000e-01 4.496093750000000611e-02
2.116601562500000089e-01 8.344726562500000000e-01 6.496093750000000999e-02
1.879101562500000155e-01 6.782226562500000000e-01 4.746093750000000139e-02
3.779101562500000178e-01 9.282226562500000000e-01 6.746093750000001221e-02
4.729101562499999911e-01 5.532226562500000000e-01 5.746093750000000333e-02
2.829101562499999889e-01 8.032226562500000000e-01 3.746093749999999944e-02
2.354101562500000022e-01 6.157226562500000000e-01 6.246093750000000777e-02
4.254101562500000044e-01 8.657226562500000000e-01 4.246093750000000389e-02
3.304101562500000311e-01 7.407226562500000000e-01 3.246093750000000194e-02
1.404101562500000011e-01 9.907226562500000000e-01 5.246093749999999889e-02
1.344726562499999889e-01 6.079101562500000000e-01 4.933593750000000305e-02
3.244726562499999911e-01 8.579101562500000000e-01 6.933593750000000000e-02
4.194726562500000200e-01 7.329101562500000000e-01 5.933593750000000500e-02
2.294726562499999900e-01 9.829101562500000000e-01 3.933593750000000111e-02
2.769726562500000044e-01 6.704101562500000000e-01 6.433593749999999556e-02
4.669726562500000067e-01 9.204101562500000000e-01 4.433593750000000555e-02
3.719726562499999778e-01 5.454101562500000000e-01 3.433593749999999667e-02
1.819726562500000033e-01 7.954101562500000000e-01 5.433593750000000056e-02
2.057226562499999967e-01 7.016601562500000000e-01 3.683593749999999889e-02
3.957226562499999711e-01 9.516601562500000000e-01 5.683593750000000278e-02
4.907226562500000000e-01 5.766601562500000000e-01 6.683593749999999778e-02
3.007226562499999978e-01 8.266601562500000000e-01 4.683593750000000083e-02
2.532226562499999556e-01 5.141601562500000000e-01 5.183593749999999833e-02
4.432226562500000133e-01 7.641601562500000000e-01 3.183593750000000139e-02
3.482226562499999845e-01 6.391601562500000000e-01 4.183593750000000333e-02
1.582226562499999822e-01 8.891601562500000000e-01 6.183593750000000722e-02
1.463476562499999856e-01 6.547851562500000000e-01 5.558593750000000167e-02
3.363476562499999600e-01 9.047851562500000000e-01 3.558593749999999778e-02
4.313476562499999889e-01 5.297851562500000000e-01 4.558593749999999972e-02
2.413476562499999867e-01 7.797851562500000000e-01 6.558593749999999667e-02
2.888476562499999734e-01 5.922851562500000000e-01 3.058593750000000028e-02
4.788476562499999756e-01 8.422851562500000000e-01 5.058593750000000416e-02
3.838476562500000022e-01 7.172851562500000000e-01 6.058593750000000611e-02
1.938476562500000000e-01 9.672851562500000000e-01 4.058593750000000222e-02
1.700976562500000067e-01 5.610351562500000000e-01 6.808593749999999889e-02
3.600976562500000089e-01 8.110351562500000000e-01 4.808593750000000194e-02
4.550976562499999822e-01 6.860351562500000000e-01 3.808593750000000000e-02
2.650976562500000355e-01 9.360351562500000000e-01 5.808593750000000389e-02
2.175976562499999933e-01 7.485351562500000000e-01 4.308593750000000444e-02
4.075976562499999956e-01 9.985351562500000000e-01 6.308593750000000833e-02
3.125976562500000222e-01 6.235351562500000000e-01 5.308593749999999944e-02
1.225976562499999922e-01 8.735351562500000000e-01 3.308593750000000250e-02
1.218554687500000011e-01 6.245117187500000000e-01 6.925781250000001554e-02
3.118554687500000311e-01 8.745117187500000000e-01 4.925781249999999778e-02
4.068554687500000044e-01 7.495117187500000000e-01 3.925781250000000278e-02
2.168554687500000022e-01 9.995117187500000000e-01 5.925781250000000666e-02
2.643554687499999889e-01 6.870117187500000000e-01 4.425781250000000028e-02
4.543554687499999911e-01 9.370117187500000000e-01 6.425781250000001110e-02
