# cosmological_parameters--omega_m cosmological_parameters--s_8 cosmological_parameters--h0 cosmological_parameters--omega_b cosmological_parameters--n_s cosmological_parameters--w
2.279882812499999800e-01 6.580566406250000222e-01 7.141796875000000488e-01 6.480468750000001332e-02 1.042851562500000107e+00 -5.454101562500000000e-01
4.179882812499999822e-01 7.830566406250000222e-01 8.941796875000000977e-01 4.480468750000000250e-02 9.428515625000000178e-01 -1.295410156250000000e+00
3.229882812500000089e-01 7.205566406250000222e-01 8.041796875000000178e-01 5.480468750000000444e-02 8.928515624999999734e-01 -9.204101562500000000e-01
1.329882812500000067e-01 8.455566406250000222e-01 6.241796875000000799e-01 3.480468750000000056e-02 9.928515625000000622e-01 -1.670410156250000000e+00
1.389257812499999911e-01 6.541503906250000222e-01 8.210546874999999911e-01 5.792968750000000722e-02 9.334765624999999956e-01 -7.563476562500000000e-01
3.289257812499999933e-01 7.791503906250000222e-01 6.410546875000000533e-01 3.792968750000000333e-02 1.033476562499999973e+00 -1.506347656250000000e+00
4.239257812500000222e-01 7.166503906250000222e-01 5.510546875000000844e-01 6.792968750000000222e-02 9.834765625000000400e-01 -1.131347656250000000e+00
2.339257812499999922e-01 8.416503906250000222e-01 7.310546875000000222e-01 4.792968749999999833e-02 8.834765624999999512e-01 -1.881347656250000000e+00
2.814257812500000067e-01 7.479003906250000222e-01 6.860546874999999822e-01 5.292968750000000278e-02 1.008476562500000062e+00 -1.693847656250000000e+00
4.714257812500000089e-01 8.729003906250000222e-01 8.660546875000000311e-01 3.292968749999999889e-02 9.084765624999999734e-01 -9.438476562500000000e-01
3.764257812499999800e-01 6.854003906250000222e-01 7.760546875000000622e-01 6.292968749999999778e-02 9.584765625000000178e-01 -1.318847656250000000e+00
1.864257812499999778e-01 8.104003906250000222e-01 5.960546875000000133e-01 4.292968750000000083e-02 1.058476562500000107e+00 -5.688476562500000000e-01
2.101757812499999989e-01 7.322753906250000222e-01 7.535546875000000977e-01 3.042968750000000014e-02 1.020976562500000018e+00 -6.625976562500000000e-01
4.001757812499999734e-01 8.572753906250000222e-01 5.735546875000000488e-01 5.042968750000000056e-02 9.209765625000000400e-01 -1.412597656250000000e+00
4.951757812500000022e-01 6.697753906250000222e-01 6.635546875000000178e-01 4.042968749999999861e-02 8.709765624999999956e-01 -1.037597656250000000e+00
3.051757812500000000e-01 7.947753906250000222e-01 8.435546874999999556e-01 6.042968750000000944e-02 9.709765624999999734e-01 -1.787597656250000000e+00
2.576757812500000133e-01 7.010253906250000222e-01 6.185546875000000888e-01 3.542968750000000111e-02 8.959765625000000178e-01 -1.975097656250000000e+00
4.476757812500000155e-01 8.260253906250000222e-01 7.985546875000000266e-01 5.542968750000000500e-02 9.959765625000001066e-01 -1.225097656250000000e+00
3.526757812499999867e-01 7.635253906250000222e-01 8.885546875000001066e-01 4.542968750000000305e-02 1.045976562500000151e+00 -1.600097656250000000e+00
1.626757812499999845e-01 8.885253906250000222e-01 7.085546875000000577e-01 6.542968750000000000e-02 9.459765625000000622e-01 -8.500976562500000000e-01
1.508007812499999878e-01 7.713378906250000222e-01 5.848046875000000311e-01 6.417968749999999889e-02 8.897265625000000400e-01 -1.178222656250000000e+00
3.408007812500000178e-01 8.963378906250000222e-01 7.648046875000000799e-01 4.417968750000000194e-02 9.897265625000000178e-01 -1.928222656250000000e+00
4.358007812499999911e-01 7.088378906250000222e-01 8.548046875000000488e-01 5.417968750000000389e-02 1.039726562500000062e+00 -8.032226562500000000e-01
2.458007812499999889e-01 8.338378906250000222e-01 6.748046875000000000e-01 3.417968750000000000e-02 9.397265624999999734e-01 -1.553222656250000000e+00
2.933007812500000311e-01 6.775878906250000222e-01 8.098046875000000089e-01 6.917968750000000333e-02 1.064726562499999973e+00 -1.365722656250000000e+00
4.833007812499999778e-01 8.025878906250000222e-01 6.298046875000000711e-01 4.917968749999999944e-02 9.647265624999999956e-01 -6.157226562500000000e-01
3.883007812500000044e-01 7.400878906250000222e-01 7.198046875000000400e-01 5.917968750000000833e-02 9.147265625000000622e-01 -1.740722656250000000e+00
1.983007812500000022e-01 8.650878906250000222e-01 8.998046875000000888e-01 3.917968750000000444e-02 1.014726562499999929e+00 -9.907226562500000000e-01
1.745507812500000089e-01 6.932128906250000222e-01 6.523046875000000355e-01 4.667968749999999722e-02 9.772265625000000622e-01 -8.969726562500000000e-01
3.645507812500000111e-01 8.182128906250000222e-01 8.323046874999999734e-01 6.667968750000000111e-02 8.772265624999999734e-01 -1.646972656250000000e+00
4.595507812499999845e-01 7.557128906250000222e-01 7.423046875000000044e-01 3.667968750000000222e-02 9.272265625000000178e-01 -5.219726562500000000e-01
2.695507812499999822e-01 8.807128906250000222e-01 5.623046875000000666e-01 5.667968750000000611e-02 1.027226562500000107e+00 -1.271972656250000000e+00
2.220507812499999956e-01 7.244628906250000222e-01 8.773046875000000133e-01 4.167968749999999972e-02 9.522265625000000400e-01 -1.459472656250000000e+00
4.120507812499999978e-01 8.494628906250000222e-01 6.973046875000000755e-01 6.167968750000000361e-02 1.052226562500000018e+00 -7.094726562500000000e-01
3.170507812499999689e-01 6.619628906250000222e-01 6.073046874999999956e-01 3.167968749999999778e-02 1.002226562499999973e+00 -1.834472656250000000e+00
1.270507812499999944e-01 7.869628906250000222e-01 7.873046875000000444e-01 5.167968750000000167e-02 9.022265624999999956e-01 -1.084472656250000000e+00
1.300195312499999867e-01 6.873535156250000222e-01 6.157421874999999822e-01 6.636718750000000777e-02 1.035039062500000107e+00 -9.790039062500000000e-01
3.200195312499999889e-01 8.123535156250000222e-01 7.957421875000000311e-01 4.636718750000000389e-02 9.350390625000000178e-01 -1.729003906250000000e+00
4.150195312500000178e-01 7.498535156250000222e-01 8.857421875000000000e-01 5.636718749999999889e-02 8.850390624999999734e-01 -6.040039062500000000e-01
2.250195312500000155e-01 8.748535156250000222e-01 7.057421875000000622e-01 3.636718750000000194e-02 9.850390625000000622e-01 -1.354003906250000000e+00
2.725195312500000022e-01 7.186035156250000222e-01 7.507421874999999911e-01 6.136718750000000333e-02 9.100390624999999956e-01 -1.541503906250000000e+00
4.625195312500000044e-01 8.436035156250000222e-01 5.707421875000000533e-01 4.136718749999999944e-02 1.010039062499999973e+00 -7.915039062500000000e-01
3.675195312500000311e-01 6.561035156250000222e-01 6.607421875000000222e-01 5.136718750000000139e-02 1.060039062500000018e+00 -1.916503906250000000e+00
1.775195312500000011e-01 7.811035156250000222e-01 8.407421875000000711e-01 3.136718749999999750e-02 9.600390625000000400e-01 -1.166503906250000000e+00
2.012695312499999944e-01 7.654785156250000222e-01 7.282421875000000266e-01 4.386718750000000167e-02 9.225390625000000622e-01 -1.072753906250000000e+00
3.912695312500000244e-01 8.904785156250000222e-01 9.082421874999999645e-01 6.386718750000000555e-02 1.022539062499999929e+00 -1.822753906250000000e+00
4.862695312499999978e-01 7.029785156250000222e-01 8.182421875000001066e-01 3.386718749999999972e-02 9.725390624999999956e-01 -6.977539062500000000e-01
2.962695312499999956e-01 8.279785156250000222e-01 6.382421875000000577e-01 5.386718750000000361e-02 8.725390625000000178e-01 -1.447753906250000000e+00
2.487695312500000089e-01 6.717285156250000222e-01 8.632421875000000355e-01 4.886718750000000611e-02 9.975390625000000178e-01 -1.260253906250000000e+00
4.387695312500000111e-01 7.967285156250000222e-01 6.832421875000000977e-01 6.886718750000000999e-02 8.975390625000000400e-01 -5.102539062500000000e-01
3.437695312499999822e-01 7.342285156250000222e-01 5.932421875000000178e-01 3.886718749999999722e-02 9.475390624999999734e-01 -1.635253906250000000e+00
1.537695312499999800e-01 8.592285156250000222e-01 7.732421875000000666e-01 5.886718750000000111e-02 1.047539062500000062e+00 -8.852539062500000000e-01
1.656445312500000044e-01 7.420410156250000222e-01 8.969921874999999822e-01 5.011718750000000722e-02 9.912890625000000400e-01 -5.571289062500000000e-01
3.556445312500000067e-01 8.670410156250000222e-01 7.169921875000000444e-01 3.011718749999999986e-02 8.912890624999999512e-01 -1.307128906250000000e+00
4.506445312499999800e-01 6.795410156250000222e-01 6.269921875000000755e-01 6.011718750000000222e-02 9.412890624999999956e-01 -9.321289062500000000e-01
2.606445312499999778e-01 8.045410156250000222e-01 8.069921875000000133e-01 4.011718749999999833e-02 1.041289062499999973e+00 -1.682128906250000000e+00
3.081445312499999645e-01 7.107910156250000222e-01 6.719921875000000044e-01 5.511718750000000472e-02 9.662890625000000178e-01 -1.869628906250000000e+00
4.981445312500000222e-01 8.357910156250000222e-01 8.519921875000000533e-01 3.511718750000000083e-02 1.066289062500000107e+00 -1.119628906250000000e+00
4.031445312499999933e-01 7.732910156250000222e-01 7.619921874999999734e-01 6.511718750000000666e-02 1.016289062500000062e+00 -1.494628906250000000e+00
2.131445312499999911e-01 8.982910156250000222e-01 5.819921875000000355e-01 4.511718750000000278e-02 9.162890624999999734e-01 -7.446289062500000000e-01
1.893945312499999978e-01 6.639160156250000222e-01 7.844921875000000488e-01 3.761718750000000305e-02 8.787890624999999956e-01 -8.383789062500000000e-01
3.793945312500000000e-01 7.889160156250000222e-01 6.044921875000000000e-01 5.761718750000000000e-02 9.787890624999999734e-01 -1.588378906250000000e+00
4.743945312499999734e-01 7.264160156250000222e-01 6.944921875000000799e-01 4.761718750000000500e-02 1.028789062500000018e+00 -1.213378906250000000e+00
2.843945312500000266e-01 8.514160156250000222e-01 8.744921875000000178e-01 6.761718750000000888e-02 9.287890625000000400e-01 -1.963378906250000000e+00
2.368945312499999845e-01 7.576660156250000222e-01 5.594921875000000711e-01 3.261718749999999861e-02 1.053789062500000151e+00 -1.775878906250000000e+00
4.268945312499999867e-01 8.826660156250000222e-01 7.394921875000000089e-01 5.261718750000000250e-02 9.537890625000000622e-01 -1.025878906250000000e+00
3.318945312500000133e-01 6.951660156250000222e-01 8.294921875000000888e-01 4.261718750000000056e-02 9.037890625000000178e-01 -1.400878906250000000e+00
1.418945312500000111e-01 8.201660156250000222e-01 6.494921875000000400e-01 6.261718750000000444e-02 1.003789062500000107e+00 -6.508789062500000000e-01
1.359570312499999989e-01 7.459472656250000222e-01 8.013671875000000222e-01 4.949218750000000666e-02 9.506640625000000178e-01 -1.939941406250000000e+00
3.259570312499999734e-01 8.709472656250000222e-01 6.213671875000000844e-01 6.949218749999999667e-02 1.050664062500000107e+00 -1.189941406250000000e+00
4.209570312500000022e-01 6.834472656250000222e-01 7.113671875000000533e-01 3.949218749999999778e-02 1.000664062500000062e+00 -1.564941406250000000e+00
2.309570312500000000e-01 8.084472656250000222e-01 8.913671874999999911e-01 5.949218750000000167e-02 9.006640624999999734e-01 -8.149414062500000000e-01
2.784570312499999867e-01 6.521972656250000222e-01 5.763671875000000444e-01 4.449218750000000222e-02 9.756640625000000400e-01 -6.274414062500000000e-01
4.684570312499999889e-01 7.771972656250000222e-01 7.563671874999999822e-01 6.449218750000000611e-02 8.756640624999999512e-01 -1.377441406250000000e+00
3.734570312500000155e-01 7.146972656250000222e-01 8.463671875000000622e-01 3.449218750000000028e-02 9.256640624999999956e-01 -1.002441406250000000e+00
1.834570312500000133e-01 8.396972656250000222e-01 6.663671875000000133e-01 5.449218750000000416e-02 1.025664062499999973e+00 -1.752441406250000000e+00
2.072070312500000067e-01 6.990722656250000222e-01 8.688671875000000266e-01 6.199218750000000389e-02 1.063164062500000062e+00 -1.658691406250000000e+00
3.972070312500000089e-01 8.240722656250000222e-01 6.888671875000000888e-01 4.199218750000000000e-02 9.631640624999999734e-01 -9.086914062500000000e-01
4.922070312499999822e-01 7.615722656250000222e-01 5.988671875000000089e-01 5.199218750000000194e-02 9.131640625000000400e-01 -1.283691406250000000e+00
3.022070312500000355e-01 8.865722656250000222e-01 7.788671875000000577e-01 3.199218749999999806e-02 1.013164062500000018e+00 -5.336914062500000000e-01
2.547070312499999933e-01 7.303222656250000222e-01 6.438671875000000488e-01 6.699218750000000833e-02 8.881640625000000178e-01 -7.211914062500000000e-01
4.447070312499999956e-01 8.553222656250000222e-01 8.238671875000000977e-01 4.699218750000000444e-02 9.881640624999999956e-01 -1.471191406250000000e+00
3.497070312500000222e-01 6.678222656250000222e-01 7.338671875000000178e-01 5.699218749999999944e-02 1.038164062499999929e+00 -1.096191406250000000e+00
1.597070312499999922e-01 7.928222656250000222e-01 5.538671875000000799e-01 3.699218750000000250e-02 9.381640625000000622e-01 -1.846191406250000000e+00
1.478320312499999956e-01 6.756347656250000222e-01 7.001171875000000711e-01 3.324218749999999917e-02 9.069140625000000622e-01 -1.518066406250000000e+00
3.378320312499999978e-01 8.006347656250000222e-01 8.801171875000000089e-01 5.324218750000000305e-02 1.006914062499999929e+00 -7.680664062500000000e-01
4.328320312500000266e-01 7.381347656250000222e-01 7.901171875000000400e-01 4.324218750000000111e-02 1.056914062499999973e+00 -1.893066406250000000e+00
2.428320312499999967e-01 8.631347656250000222e-01 6.101171874999999911e-01 6.324218750000000500e-02 9.569140624999999956e-01 -1.143066406250000000e+00
2.903320312500000111e-01 7.693847656250000222e-01 8.351171875000000799e-01 3.824218749999999667e-02 1.031914062500000062e+00 -9.555664062500000000e-01
4.803320312500000133e-01 8.943847656250000222e-01 6.551171875000000311e-01 5.824218750000000056e-02 9.319140624999999734e-01 -1.705566406250000000e+00
3.853320312499999845e-01 7.068847656250000222e-01 5.651171875000000622e-01 4.824218750000000555e-02 8.819140625000000400e-01 -5.805664062500000000e-01
1.953320312499999822e-01 8.318847656250000222e-01 7.451171875000000000e-01 6.824218750000000944e-02 9.819140625000000178e-01 -1.330566406250000000e+00
1.715820312499999889e-01 7.225097656250000222e-01 6.326171875000000666e-01 5.574218750000000527e-02 1.019414062500000107e+00 -1.424316406250000000e+00
3.615820312499999911e-01 8.475097656250000222e-01 8.126171875000001155e-01 3.574218750000000139e-02 9.194140625000000178e-01 -6.743164062500000000e-01
4.565820312500000200e-01 6.600097656250000222e-01 9.026171874999999734e-01 6.574218750000000722e-02 9.694140625000000622e-01 -1.799316406250000000e+00
2.665820312500000178e-01 7.850097656250000222e-01 7.226171875000000355e-01 4.574218750000000333e-02 1.069414062500000151e+00 -1.049316406250000000e+00
2.190820312500000033e-01 6.912597656250000222e-01 7.676171875000000755e-01 5.074218750000000777e-02 9.444140625000000400e-01 -1.236816406250000000e+00
4.090820312499999778e-01 8.162597656250000222e-01 5.876171875000000266e-01 3.074218750000000042e-02 1.044414062500000018e+00 -1.986816406250000000e+00
3.140820312500000044e-01 7.537597656250000222e-01 6.776171875000001066e-01 6.074218750000000278e-02 9.944140625000000844e-01 -8.618164062500000000e-01
1.240820312500000022e-01 8.787597656250000222e-01 8.576171875000000444e-01 4.074218749999999889e-02 8.944140624999999956e-01 -1.611816406250000000e+00
1.255664062499999845e-01 6.707519531250000222e-01 7.605859375000000311e-01 6.371093750000000888e-02 9.842578124999999956e-01 -1.840332031250000000e+00
3.155664062499999867e-01 7.957519531250000222e-01 5.805859375000000933e-01 4.371093750000000500e-02 8.842578125000000178e-01 -1.090332031250000000e+00
4.105664062500000155e-01 7.332519531250000222e-01 6.705859375000000622e-01 5.371093750000000000e-02 9.342578125000000622e-01 -1.465332031250000000e+00
2.205664062500000133e-01 8.582519531250000222e-01 8.505859375000000000e-01 3.371093749999999611e-02 1.034257812499999929e+00 -7.153320312500000000e-01
2.680664062500000000e-01 7.645019531250000222e-01 6.255859375000000222e-01 6.871093750000001332e-02 9.592578124999999734e-01 -5.278320312500000000e-01
4.580664062500000022e-01 8.895019531250000222e-01 8.055859375000000711e-01 4.871093750000000250e-02 1.059257812500000062e+00 -1.277832031250000000e+00
3.630664062499999734e-01 7.020019531250000222e-01 8.955859375000000400e-01 5.871093750000000444e-02 1.009257812500000018e+00 -9.028320312500000000e-01
1.730664062499999989e-01 8.270019531250000222e-01 7.155859374999999911e-01 3.871093750000000056e-02 9.092578125000000400e-01 -1.652832031250000000e+00
1.968164062499999922e-01 7.176269531250000222e-01 8.280859375000000355e-01 4.621093750000000722e-02 8.717578124999999512e-01 -1.746582031250000000e+00
3.868164062500000222e-01 8.426269531250000222e-01 6.480859375000000977e-01 6.621093750000001110e-02 9.717578125000000400e-01 -9.965820312500000000e-01
4.818164062499999956e-01 6.551269531250000222e-01 5.580859375000000178e-01 3.621093749999999833e-02 1.021757812499999973e+00 -1.371582031250000000e+00
2.918164062499999933e-01 7.801269531250000222e-01 7.380859375000000666e-01 5.621093750000000222e-02 9.217578124999999956e-01 -6.215820312500000000e-01
2.443164062500000067e-01 6.863769531250000222e-01 6.930859375000000266e-01 4.121093750000000278e-02 1.046757812500000107e+00 -8.090820312500000000e-01
4.343164062500000089e-01 8.113769531250000222e-01 8.730859374999999645e-01 6.121093750000000666e-02 9.467578125000000178e-01 -1.559082031250000000e+00
3.393164062500000355e-01 7.488769531250000222e-01 7.830859374999999956e-01 3.121093750000000083e-02 8.967578124999999734e-01 -1.184082031250000000e+00
1.493164062500000056e-01 8.738769531250000222e-01 6.030859375000000577e-01 5.121093750000000472e-02 9.967578125000000622e-01 -1.934082031250000000e+00
1.611914062500000022e-01 7.566894531250000222e-01 6.593359375000000799e-01 5.996093750000000555e-02 1.040507812500000018e+00 -1.605957031250000000e+00
3.511914062500000044e-01 8.816894531250000222e-01 8.393359375000000178e-01 3.996093750000000167e-02 9.405078125000000400e-01 -8.559570312500000000e-01
4.461914062499999778e-01 6.941894531250000222e-01 7.493359375000000488e-01 6.996093750000001443e-02 8.905078124999999956e-01 -1.980957031250000000e+00
2.561914062500000311e-01 8.191894531250000222e-01 5.693359375000000000e-01 4.996093750000000361e-02 9.905078124999999734e-01 -1.230957031250000000e+00
3.036914062500000178e-01 6.629394531250000222e-01 8.843359375000000577e-01 5.496093750000000111e-02 9.155078125000000178e-01 -1.043457031250000000e+00
4.936914062500000200e-01 7.879394531250000222e-01 7.043359375000000089e-01 3.496093749999999722e-02 1.015507812500000107e+00 -1.793457031250000000e+00
3.986914062499999911e-01 7.254394531250000222e-01 6.143359375000000400e-01 6.496093750000000999e-02 1.065507812500000151e+00 -6.684570312500000000e-01
2.086914062499999889e-01 8.504394531250000222e-01 7.943359375000000888e-01 4.496093750000000611e-02 9.655078125000000622e-01 -1.418457031250000000e+00
1.849414062499999956e-01 7.098144531250000222e-01 5.918359375000000755e-01 3.246093750000000194e-02 9.280078124999999734e-01 -1.324707031250000000e+00
3.749414062499999978e-01 8.348144531250000222e-01 7.718359375000000133e-01 5.246093749999999889e-02 1.028007812500000062e+00 -5.747070312500000000e-01
4.699414062500000266e-01 7.723144531250000222e-01 8.618359374999999822e-01 4.246093750000000389e-02 9.780078125000000178e-01 -1.699707031250000000e+00
2.799414062499999689e-01 8.973144531250000222e-01 6.818359375000000444e-01 6.246093750000000777e-02 8.780078125000000400e-01 -9.497070312500000000e-01
2.324414062499999822e-01 7.410644531250000222e-01 8.168359375000000533e-01 3.746093749999999944e-02 1.003007812499999929e+00 -1.137207031250000000e+00
4.224414062499999845e-01 8.660644531250000222e-01 6.368359375000000044e-01 5.746093750000000333e-02 9.030078125000000622e-01 -1.887207031250000000e+00
3.274414062500000111e-01 6.785644531250000222e-01 7.268359374999999734e-01 4.746093750000000139e-02 9.530078124999999956e-01 -7.622070312500000000e-01
1.374414062500000089e-01 8.035644531250000222e-01 9.068359375000000222e-01 6.746093750000001221e-02 1.053007812499999973e+00 -1.512207031250000000e+00
1.433789062499999933e-01 7.293457031250000222e-01 5.637109375000000089e-01 4.058593750000000222e-02 8.998828125000000178e-01 -8.793945312500000000e-01
3.333789062499999956e-01 8.543457031250000222e-01 7.437109375000000577e-01 6.058593750000000611e-02 9.998828125000001066e-01 -1.629394531250000000e+00
4.283789062500000244e-01 6.668457031250000222e-01 8.337109375000000266e-01 3.058593750000000028e-02 1.049882812500000151e+00 -5.043945312500000000e-01
2.383789062499999944e-01 7.918457031250000222e-01 6.537109375000000888e-01 5.058593750000000416e-02 9.498828125000000622e-01 -1.254394531250000000e+00
2.858789062500000089e-01 6.980957031250000222e-01 7.887109375000000977e-01 4.558593749999999972e-02 1.024882812500000018e+00 -1.441894531250000000e+00
4.758789062500000111e-01 8.230957031250000222e-01 6.087109375000000488e-01 6.558593749999999667e-02 9.248828125000000400e-01 -6.918945312500000000e-01
3.808789062499999822e-01 7.605957031250000222e-01 6.987109375000000178e-01 3.558593749999999778e-02 8.748828124999999956e-01 -1.816894531250000000e+00
1.908789062499999800e-01 8.855957031250000222e-01 8.787109374999999556e-01 5.558593750000000167e-02 9.748828124999999734e-01 -1.066894531250000000e+00
2.146289062500000011e-01 6.512207031250000222e-01 6.762109375000000533e-01 6.808593749999999889e-02 1.012382812500000062e+00 -1.160644531250000000e+00
4.046289062499999756e-01 7.762207031250000222e-01 8.562109374999999911e-01 4.808593750000000194e-02 9.123828124999999734e-01 -1.910644531250000000e+00
4.996289062500000044e-01 7.137207031250000222e-01 7.662109375000000222e-01 5.808593750000000389e-02 9.623828125000000178e-01 -7.856445312500000000e-01
3.096289062500000022e-01 8.387207031250000222e-01 5.862109375000000844e-01 3.808593750000000000e-02 1.062382812500000107e+00 -1.535644531250000000e+00
2.621289062499999600e-01 7.449707031250000222e-01 9.012109375000000311e-01 6.308593750000000833e-02 9.373828124999999956e-01 -1.348144531250000000e+00
4.521289062500000178e-01 8.699707031250000222e-01 7.212109374999999822e-01 4.308593750000000444e-02 1.037382812499999973e+00 -5.981445312500000000e-01
3.571289062499999889e-01 6.824707031250000222e-01 6.312109375000000133e-01 5.308593749999999944e-02 9.873828125000000400e-01 -1.723144531250000000e+00
1.671289062499999867e-01 8.074707031250000222e-01 8.112109375000000622e-01 3.308593750000000250e-02 8.873828124999999512e-01 -9.731445312500000000e-01
1.552539062499999900e-01 6.902832031250000222e-01 8.449609375000000089e-01 3.683593749999999889e-02 9.561328125000000400e-01 -6.450195312500000000e-01
3.452539062499999645e-01 8.152832031250000222e-01 6.649609375000000711e-01 5.683593750000000278e-02 1.056132812500000018e+00 -1.395019531250000000e+00
4.402539062499999933e-01 7.527832031250000222e-01 5.749609374999999911e-01 4.683593750000000083e-02 1.006132812499999973e+00 -1.020019531250000000e+00
2.502539062499999911e-01 8.777832031250000222e-01 7.549609375000000400e-01 6.683593749999999778e-02 9.061328124999999956e-01 -1.770019531250000000e+00
2.977539062499999778e-01 7.215332031250000222e-01 7.099609375000000000e-01 3.183593750000000139e-02 9.811328125000000622e-01 -1.957519531250000000e+00
4.877539062499999800e-01 8.465332031250000222e-01 8.899609375000000488e-01 5.183593749999999833e-02 8.811328124999999734e-01 -1.207519531250000000e+00
3.927539062500000067e-01 6.590332031250000222e-01 7.999609375000000799e-01 4.183593750000000333e-02 9.311328125000000178e-01 -1.582519531250000000e+00
2.027539062500000044e-01 7.840332031250000222e-01 6.199609375000000311e-01 6.183593750000000722e-02 1.031132812500000107e+00 -8.325195312500000000e-01
1.790039062500000111e-01 7.684082031250000222e-01 7.324609375000000755e-01 5.433593750000000056e-02 1.068632812499999973e+00 -7.387695312500000000e-01
3.690039062500000133e-01 8.934082031250000222e-01 5.524609375000000266e-01 3.433593749999999667e-02 9.686328124999999956e-01 -1.488769531250000000e+00
4.640039062499999867e-01 7.059082031250000222e-01 6.424609374999999956e-01 6.433593749999999556e-02 9.186328125000000622e-01 -1.113769531250000000e+00
2.740039062499999845e-01 8.309082031250000222e-01 8.224609375000000444e-01 4.433593750000000555e-02 1.018632812499999929e+00 -1.863769531250000000e+00
2.265039062499999978e-01 6.746582031250000222e-01 5.974609375000000666e-01 5.933593750000000500e-02 8.936328125000000400e-01 -1.676269531250000000e+00
4.165039062500000000e-01 7.996582031250000222e-01 7.774609375000000044e-01 3.933593750000000111e-02 9.936328125000000178e-01 -9.262695312500000000e-01
3.215039062500000266e-01 7.371582031250000222e-01 8.674609374999999734e-01 6.933593750000000000e-02 1.043632812500000062e+00 -1.301269531250000000e+00
1.315039062499999967e-01 8.621582031250000222e-01 6.874609375000000355e-01 4.933593750000000305e-02 9.436328124999999734e-01 -5.512695312500000000e-01
1.285351562500000044e-01 7.625488281250000222e-01 8.758984375000000711e-01 3.402343750000000333e-02 9.983203124999999734e-01 -8.442382812500000000e-01
3.185351562500000067e-01 8.875488281250000222e-01 6.958984375000000222e-01 5.402343750000000722e-02 8.983203124999999956e-01 -1.594238281250000000e+00
4.135351562499999800e-01 7.000488281250000222e-01 6.058984375000000533e-01 4.402343749999999833e-02 9.483203125000000400e-01 -1.219238281250000000e+00
2.235351562499999778e-01 8.250488281250000222e-01 7.858984374999999911e-01 6.402343750000000222e-02 1.048320312500000018e+00 -1.969238281250000000e+00
2.710351562499999645e-01 6.687988281250000222e-01 6.508984374999999822e-01 3.902343750000000083e-02 9.233203125000000178e-01 -1.781738281250000000e+00
4.610351562500000222e-01 7.937988281250000222e-01 8.308984375000000311e-01 5.902343750000000472e-02 1.023320312500000107e+00 -1.031738281250000000e+00
3.660351562499999933e-01 7.312988281250000222e-01 7.408984375000000622e-01 4.902343750000000278e-02 9.733203125000000622e-01 -1.406738281250000000e+00
1.760351562499999911e-01 8.562988281250000222e-01 5.608984375000000133e-01 6.902343750000000666e-02 8.733203124999999734e-01 -6.567382812500000000e-01
1.997851562499999845e-01 6.844238281250000222e-01 8.083984374999999556e-01 5.652343750000000250e-02 9.108203125000000622e-01 -5.629882812500000000e-01
3.897851562499999867e-01 8.094238281250000222e-01 6.283984375000000178e-01 3.652343749999999861e-02 1.010820312499999929e+00 -1.312988281250000000e+00
4.847851562500000155e-01 7.469238281250000222e-01 7.183984375000000977e-01 6.652343750000000444e-02 1.060820312499999973e+00 -9.379882812500000000e-01
2.947851562500000133e-01 8.719238281250000222e-01 8.983984375000000355e-01 4.652343750000000056e-02 9.608203124999999956e-01 -1.687988281250000000e+00
2.472851562499999989e-01 7.156738281250000222e-01 5.833984375000000888e-01 5.152343750000000500e-02 1.035820312500000062e+00 -1.875488281250000000e+00
4.372851562499999734e-01 8.406738281250000222e-01 7.633984375000000266e-01 3.152343750000000111e-02 9.358203124999999734e-01 -1.125488281250000000e+00
3.422851562500000000e-01 6.531738281250000222e-01 8.533984375000001066e-01 6.152343750000000694e-02 8.858203125000000400e-01 -1.500488281250000000e+00
1.522851562499999978e-01 7.781738281250000222e-01 6.733984375000000577e-01 4.152343750000000305e-02 9.858203125000000178e-01 -7.504882812500000000e-01
1.641601562499999944e-01 6.609863281250000222e-01 6.396484375000000000e-01 4.777343750000000167e-02 1.054570312500000107e+00 -1.078613281250000000e+00
3.541601562499999689e-01 7.859863281250000222e-01 8.196484375000000488e-01 6.777343750000000555e-02 9.545703125000000178e-01 -1.828613281250000000e+00
4.491601562499999978e-01 7.234863281250000222e-01 9.096484375000000178e-01 3.777343749999999972e-02 9.045703124999999734e-01 -7.036132812500000000e-01
2.591601562499999956e-01 8.484863281250000222e-01 7.296484375000000799e-01 5.777343750000000361e-02 1.004570312500000062e+00 -1.453613281250000000e+00
3.066601562499999822e-01 7.547363281250000222e-01 7.746484375000000089e-01 4.277343749999999722e-02 8.795703124999999512e-01 -1.266113281250000000e+00
4.966601562499999845e-01 8.797363281250000222e-01 5.946484375000000711e-01 6.277343750000000111e-02 9.795703125000000400e-01 -5.161132812500000000e-01
4.016601562500000111e-01 6.922363281250000222e-01 6.846484375000000400e-01 3.277343750000000222e-02 1.029570312499999973e+00 -1.641113281250000000e+00
2.116601562500000089e-01 8.172363281250000222e-01 8.646484375000000888e-01 5.277343750000000611e-02 9.295703124999999956e-01 -8.911132812500000000e-01
1.879101562500000155e-01 7.391113281250000222e-01 7.071484375000000044e-01 6.027343750000000583e-02 9.670703124999999734e-01 -9.848632812500000000e-01
3.779101562500000178e-01 8.641113281250000222e-01 8.871484375000000533e-01 4.027343750000000194e-02 1.067070312500000062e+00 -1.734863281250000000e+00
